Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2010,2010,1000 t,121,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2011,2011,1000 t,118,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2012,2012,1000 t,141,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2013,2013,1000 t,125,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2014,2014,1000 t,164,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2015,2015,1000 t,151,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2016,2016,1000 t,129,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2017,2017,1000 t,111,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2018,2018,1000 t,89,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2019,2019,1000 t,77,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2020,2020,1000 t,109,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2021,2021,1000 t,120,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2022,2022,1000 t,67,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),144,Sri Lanka,5511,Production,S2602,Onions,2023,2023,1000 t,54,I,Value imputed by a receiving agency,
