system:index,Date,District,Month,Year,.geo
2000_02_18_0,2000-02-18,Jaffna,2,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_02_18_1,2000-02-18,Anuradhapura,2,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_02_18_2,2000-02-18,Polonnaruwa,2,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_02_18_3,2000-02-18,Matale,2,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_02_18_4,2000-02-18,Monaragala,2,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_02_26_0,2000-02-26,Jaffna,2,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_02_26_1,2000-02-26,Anuradhapura,2,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_02_26_2,2000-02-26,Polonnaruwa,2,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_02_26_3,2000-02-26,Matale,2,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_02_26_4,2000-02-26,Monaragala,2,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_03_05_0,2000-03-05,Jaffna,3,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_03_05_1,2000-03-05,Anuradhapura,3,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_03_05_2,2000-03-05,Polonnaruwa,3,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_03_05_3,2000-03-05,Matale,3,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_03_05_4,2000-03-05,Monaragala,3,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_03_13_0,2000-03-13,Jaffna,3,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_03_13_1,2000-03-13,Anuradhapura,3,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_03_13_2,2000-03-13,Polonnaruwa,3,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_03_13_3,2000-03-13,Matale,3,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_03_13_4,2000-03-13,Monaragala,3,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_03_21_0,2000-03-21,Jaffna,3,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_03_21_1,2000-03-21,Anuradhapura,3,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_03_21_2,2000-03-21,Polonnaruwa,3,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_03_21_3,2000-03-21,Matale,3,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_03_21_4,2000-03-21,Monaragala,3,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
