system:index,Date,District,EVI,Month,NDVI,Year,.geo
2000_02_18_0,2000-02-18,Matale,0.3779,2,0.5829,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_02_18_1,2000-02-18,Anuradhapura,0.3933,2,0.6193,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_02_18_2,2000-02-18,Polonnaruwa,0.3799,2,0.5093,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_02_18_3,2000-02-18,Hambantota,,2,,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_02_18_4,2000-02-18,Monaragala,0.3634,2,0.5215,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_02_18_5,2000-02-18,Jaffna,0.4235,2,0.6344,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_03_05_0,2000-03-05,Matale,0.3673,3,0.5436,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_03_05_1,2000-03-05,Anuradhapura,0.394,3,0.6086,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_03_05_2,2000-03-05,Polonnaruwa,0.392,3,0.5756,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_03_05_3,2000-03-05,Hambantota,0.404,3,0.6091,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_03_05_4,2000-03-05,Monaragala,0.3998,3,0.5677,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_03_05_5,2000-03-05,Jaffna,0.4249,3,0.5882,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_03_21_0,2000-03-21,Matale,0.336,3,0.5152,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_03_21_1,2000-03-21,Anuradhapura,0.3698,3,0.6118,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_03_21_2,2000-03-21,Polonnaruwa,0.3887,3,0.561,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_03_21_3,2000-03-21,Hambantota,,3,,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_03_21_4,2000-03-21,Monaragala,0.5182,3,0.7435,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_03_21_5,2000-03-21,Jaffna,0.4199,3,0.5711,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_04_06_0,2000-04-06,Matale,0.4298,4,0.5921,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_04_06_1,2000-04-06,Anuradhapura,0.4052,4,0.5803,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_04_06_2,2000-04-06,Polonnaruwa,0.3424,4,0.617,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_04_06_3,2000-04-06,Hambantota,,4,,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_04_06_4,2000-04-06,Monaragala,0.3079,4,0.5671,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_04_06_5,2000-04-06,Jaffna,0.3749,4,0.627,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_04_22_0,2000-04-22,Matale,0.3082,4,0.4381,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_04_22_1,2000-04-22,Anuradhapura,0.5158,4,0.7174,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_04_22_2,2000-04-22,Polonnaruwa,0.3888,4,0.6291,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_04_22_3,2000-04-22,Hambantota,,4,,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_04_22_4,2000-04-22,Monaragala,0.5028,4,0.7209,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_04_22_5,2000-04-22,Jaffna,0.3621,4,0.5427,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_05_08_0,2000-05-08,Matale,0.3514,5,0.5783,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_05_08_1,2000-05-08,Anuradhapura,0.3218,5,0.5125,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_05_08_2,2000-05-08,Polonnaruwa,0.3071,5,0.6072,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_05_08_3,2000-05-08,Hambantota,,5,,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_05_08_4,2000-05-08,Monaragala,0.4199,5,0.6544,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_05_08_5,2000-05-08,Jaffna,0.343,5,0.5304,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_05_24_0,2000-05-24,Matale,0.2039,5,0.2459,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_05_24_1,2000-05-24,Anuradhapura,0.3825,5,0.5927,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_05_24_2,2000-05-24,Polonnaruwa,0.2764,5,0.5761,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_05_24_3,2000-05-24,Hambantota,0.3966,5,0.6526,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_05_24_4,2000-05-24,Monaragala,0.3472,5,0.6244,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_05_24_5,2000-05-24,Jaffna,0.3294,5,0.5453,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_06_09_0,2000-06-09,Matale,0.3264,6,0.5027,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_06_09_1,2000-06-09,Anuradhapura,0.4071,6,0.5937,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_06_09_2,2000-06-09,Polonnaruwa,0.3807,6,0.6268,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_06_09_3,2000-06-09,Hambantota,,6,,2000,"{""type"":""Point"",""coordinates"":[81.1185,6.1241]}"
2000_06_09_4,2000-06-09,Monaragala,0.517,6,0.7604,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_06_09_5,2000-06-09,Jaffna,0.3929,6,0.5417,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_06_25_0,2000-06-25,Matale,0.4096,6,0.5925,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_06_25_1,2000-06-25,Anuradhapura,0.3396,6,0.487,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
2000_06_25_2,2000-06-25,Polonnaruwa,0.4576,6,0.684,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
