system:index,Date,District,Month,Year,.geo
20161010T050602_20161010T050558_T44NNN_0,2016-10-10,Jaffna,10,2016,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20161010T050602_20161010T050558_T44NNN_1,2016-10-10,Matale,10,2016,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20161010T050602_20161010T050558_T44NNN_2,2016-10-10,Anuradhapura,10,2016,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20161010T050602_20161010T050558_T44NNN_3,2016-10-10,Polonnaruwa,10,2016,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20161010T050602_20161010T050558_T44NNN_4,2016-10-10,Monaragala,10,2016,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20171227T050211_20171227T051114_T44PLR_0,2017-12-27,Jaffna,12,2017,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20171227T050211_20171227T051114_T44PLR_1,2017-12-27,Matale,12,2017,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20171227T050211_20171227T051114_T44PLR_2,2017-12-27,Anuradhapura,12,2017,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20171227T050211_20171227T051114_T44PLR_3,2017-12-27,Polonnaruwa,12,2017,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20171227T050211_20171227T051114_T44PLR_4,2017-12-27,Monaragala,12,2017,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20180908T045649_20180908T051218_T44PLR_0,2018-09-08,Jaffna,9,2018,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20180908T045649_20180908T051218_T44PLR_1,2018-09-08,Matale,9,2018,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20180908T045649_20180908T051218_T44PLR_2,2018-09-08,Anuradhapura,9,2018,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20180908T045649_20180908T051218_T44PLR_3,2018-09-08,Polonnaruwa,9,2018,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20180908T045649_20180908T051218_T44PLR_4,2018-09-08,Monaragala,9,2018,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20181217T050219_20181217T051610_T44NMP_0,2018-12-17,Jaffna,12,2018,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20181217T050219_20181217T051610_T44NMP_1,2018-12-17,Matale,12,2018,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20181217T050219_20181217T051610_T44NMP_2,2018-12-17,Anuradhapura,12,2018,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20181217T050219_20181217T051610_T44NMP_3,2018-12-17,Polonnaruwa,12,2018,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20181217T050219_20181217T051610_T44NMP_4,2018-12-17,Monaragala,12,2018,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20181217T050219_20181217T051610_T44PMQ_0,2018-12-17,Jaffna,12,2018,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20181217T050219_20181217T051610_T44PMQ_1,2018-12-17,Matale,12,2018,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20181217T050219_20181217T051610_T44PMQ_2,2018-12-17,Anuradhapura,12,2018,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20181217T050219_20181217T051610_T44PMQ_3,2018-12-17,Polonnaruwa,12,2018,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20181217T050219_20181217T051610_T44PMQ_4,2018-12-17,Monaragala,12,2018,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20181219T050551_20181219T050554_T44NMP_0,2018-12-19,Jaffna,12,2018,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20181219T050551_20181219T050554_T44NMP_1,2018-12-19,Matale,12,2018,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20181219T050551_20181219T050554_T44NMP_2,2018-12-19,Anuradhapura,12,2018,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20181219T050551_20181219T050554_T44NMP_3,2018-12-19,Polonnaruwa,12,2018,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20181219T050551_20181219T050554_T44NMP_4,2018-12-19,Monaragala,12,2018,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20181219T050551_20181219T050554_T44NNN_0,2018-12-19,Jaffna,12,2018,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20181219T050551_20181219T050554_T44NNN_1,2018-12-19,Matale,12,2018,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20181219T050551_20181219T050554_T44NNN_2,2018-12-19,Anuradhapura,12,2018,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20181219T050551_20181219T050554_T44NNN_3,2018-12-19,Polonnaruwa,12,2018,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20181219T050551_20181219T050554_T44NNN_4,2018-12-19,Monaragala,12,2018,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
