date,district,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,grid_lat,grid_lon
1981-01-01,Anuradhapura,24.46,22.45,28.0,13.84,88.48,,8.311,80.404
1981-01-02,Anuradhapura,24.37,21.97,27.92,17.79,89.23,,8.311,80.404
1981-01-03,Anuradhapura,24.19,21.93,27.62,5.27,87.87,,8.311,80.404
1981-01-04,Anuradhapura,23.72,21.36,27.68,19.39,85.19,,8.311,80.404
1981-01-05,Anuradhapura,23.43,20.57,27.77,18.92,85.39,,8.311,80.404
1981-01-06,Anuradhapura,22.7,18.78,28.23,0.83,84.99,,8.311,80.404
1981-01-07,Anuradhapura,22.0,17.88,28.27,0.0,82.87,,8.311,80.404
1981-01-08,Anuradhapura,21.79,16.36,28.21,0.0,82.27,,8.311,80.404
1981-01-09,Anuradhapura,21.95,16.48,28.11,0.0,84.42,,8.311,80.404
1981-01-10,Anuradhapura,22.42,18.59,27.73,3.08,83.66,,8.311,80.404
1981-01-11,Anuradhapura,22.67,18.18,27.93,0.0,83.21,,8.311,80.404
1981-01-12,Anuradhapura,23.65,19.33,28.81,0.0,85.17,,8.311,80.404
1981-01-13,Anuradhapura,23.5,19.62,28.32,0.0,85.24,,8.311,80.404
1981-01-14,Anuradhapura,23.87,20.36,28.24,0.03,85.78,,8.311,80.404
1981-01-15,Anuradhapura,24.74,21.62,28.94,0.04,83.42,,8.311,80.404
1981-01-16,Anuradhapura,24.66,21.47,29.07,1.97,84.12,,8.311,80.404
1981-01-17,Anuradhapura,24.31,21.56,28.39,0.56,82.88,,8.311,80.404
1981-01-18,Anuradhapura,23.62,19.76,28.83,0.03,79.84,,8.311,80.404
1981-01-19,Anuradhapura,23.33,19.03,28.93,0.02,79.14,,8.311,80.404
1981-01-20,Anuradhapura,23.87,19.65,29.48,0.02,78.92,,8.311,80.404
1981-01-21,Anuradhapura,23.9,20.14,29.42,0.0,76.46,,8.311,80.404
1981-01-22,Anuradhapura,23.43,19.36,29.04,0.14,76.37,,8.311,80.404
1981-01-23,Anuradhapura,22.43,17.47,29.1,0.04,71.88,,8.311,80.404
1981-01-24,Anuradhapura,22.77,17.44,29.97,0.0,71.81,,8.311,80.404
1981-01-25,Anuradhapura,23.12,17.51,30.21,0.0,77.66,,8.311,80.404
1981-01-26,Anuradhapura,23.79,18.23,30.51,0.01,78.19,,8.311,80.404
1981-01-27,Anuradhapura,24.53,20.18,30.23,0.0,77.55,,8.311,80.404
1981-01-28,Anuradhapura,24.82,21.38,30.01,0.2,72.9,,8.311,80.404
1981-01-29,Anuradhapura,24.44,20.31,29.99,0.17,70.38,,8.311,80.404
1981-01-30,Anuradhapura,23.65,18.55,30.68,0.0,68.61,,8.311,80.404
1981-01-31,Anuradhapura,22.94,16.92,30.98,0.0,68.99,,8.311,80.404
1981-02-01,Anuradhapura,23.37,18.17,31.26,0.0,70.53,,8.311,80.404
1981-02-02,Anuradhapura,23.61,17.14,32.08,0.0,71.65,,8.311,80.404
1981-02-03,Anuradhapura,23.61,18.42,30.82,0.01,75.31,,8.311,80.404
1981-02-04,Anuradhapura,25.15,20.52,31.01,0.2,74.27,,8.311,80.404
1981-02-05,Anuradhapura,24.04,22.53,27.1,15.09,86.56,,8.311,80.404
1981-02-06,Anuradhapura,23.95,22.53,26.02,41.41,93.35,,8.311,80.404
1981-02-07,Anuradhapura,25.02,22.6,28.98,4.34,85.65,,8.311,80.404
1981-02-08,Anuradhapura,24.97,22.29,29.11,7.24,86.24,,8.311,80.404
1981-02-09,Anuradhapura,25.21,22.17,29.95,4.82,84.45,,8.311,80.404
1981-02-10,Anuradhapura,24.78,19.4,30.92,0.5,81.48,,8.311,80.404
1981-02-11,Anuradhapura,23.31,17.42,30.63,0.13,80.78,,8.311,80.404
1981-02-12,Anuradhapura,23.85,18.37,31.21,0.0,77.21,,8.311,80.404
1981-02-13,Anuradhapura,23.35,16.92,31.21,0.0,74.38,,8.311,80.404
1981-02-14,Anuradhapura,23.43,17.15,31.42,0.0,74.96,,8.311,80.404
1981-02-15,Anuradhapura,23.28,17.47,30.56,0.0,77.61,,8.311,80.404
1981-02-16,Anuradhapura,23.7,18.65,30.78,0.0,73.63,,8.311,80.404
1981-02-17,Anuradhapura,23.42,17.13,31.02,0.0,70.64,,8.311,80.404
1981-02-18,Anuradhapura,23.86,18.84,31.01,0.0,71.64,,8.311,80.404
1981-02-19,Anuradhapura,24.16,19.21,31.15,0.0,69.98,,8.311,80.404
1981-02-20,Anuradhapura,24.45,19.55,31.67,0.04,69.67,,8.311,80.404
1981-02-21,Anuradhapura,24.71,19.46,32.03,0.0,71.24,,8.311,80.404
1981-02-22,Anuradhapura,25.03,19.82,32.0,0.01,66.93,,8.311,80.404
1981-02-23,Anuradhapura,25.62,20.41,32.82,0.43,67.9,,8.311,80.404
1981-02-24,Anuradhapura,26.03,21.45,32.32,1.5,76.39,,8.311,80.404
1981-02-25,Anuradhapura,27.15,22.21,33.55,0.75,75.1,,8.311,80.404
1981-02-26,Anuradhapura,27.02,21.35,35.02,0.0,69.83,,8.311,80.404
1981-02-27,Anuradhapura,26.83,19.9,35.59,0.13,68.2,,8.311,80.404
1981-02-28,Anuradhapura,27.4,20.89,35.88,0.0,69.09,,8.311,80.404
1981-03-01,Anuradhapura,27.45,21.31,35.64,0.0,70.62,,8.311,80.404
1981-03-02,Anuradhapura,27.62,22.13,34.9,0.03,72.04,,8.311,80.404
1981-03-03,Anuradhapura,27.55,23.0,34.44,0.0,69.87,,8.311,80.404
1981-03-04,Anuradhapura,27.1,22.38,34.31,0.0,68.91,,8.311,80.404
1981-03-05,Anuradhapura,27.14,22.76,33.6,0.0,70.91,,8.311,80.404
1981-03-06,Anuradhapura,27.99,24.16,33.93,0.0,69.3,,8.311,80.404
1981-03-07,Anuradhapura,27.69,24.51,32.51,0.14,74.97,,8.311,80.404
1981-03-08,Anuradhapura,27.43,24.4,31.51,0.07,74.18,,8.311,80.404
1981-03-09,Anuradhapura,27.17,23.38,33.5,13.22,77.21,,8.311,80.404
1981-03-10,Anuradhapura,27.28,22.22,34.22,2.66,73.75,,8.311,80.404
1981-03-11,Anuradhapura,27.31,22.01,34.71,0.0,71.11,,8.311,80.404
1981-03-12,Anuradhapura,27.64,22.23,35.1,0.0,68.83,,8.311,80.404
1981-03-13,Anuradhapura,27.68,21.57,35.22,0.0,70.51,,8.311,80.404
1981-03-14,Anuradhapura,28.42,23.36,35.14,0.04,71.08,,8.311,80.404
1981-03-15,Anuradhapura,28.45,24.23,34.92,0.03,68.04,,8.311,80.404
1981-03-16,Anuradhapura,28.17,23.3,35.14,0.02,68.95,,8.311,80.404
1981-03-17,Anuradhapura,28.99,22.9,36.78,0.0,63.86,,8.311,80.404
1981-03-18,Anuradhapura,29.26,23.95,36.97,0.0,64.11,,8.311,80.404
1981-03-19,Anuradhapura,28.75,22.2,37.28,0.0,63.65,,8.311,80.404
1981-03-20,Anuradhapura,28.8,21.46,37.78,0.0,63.01,,8.311,80.404
1981-03-21,Anuradhapura,29.03,22.68,37.81,0.0,63.55,,8.311,80.404
1981-03-22,Anuradhapura,29.23,22.21,37.72,0.0,61.82,,8.311,80.404
1981-03-23,Anuradhapura,29.53,23.2,37.02,1.66,63.62,,8.311,80.404
1981-03-24,Anuradhapura,29.17,24.55,35.63,5.64,70.11,,8.311,80.404
1981-03-25,Anuradhapura,29.71,24.6,36.87,0.42,65.36,,8.311,80.404
1981-03-26,Anuradhapura,28.4,24.15,34.44,0.9,68.47,,8.311,80.404
1981-03-27,Anuradhapura,28.88,22.12,37.65,0.07,65.42,,8.311,80.404
1981-03-28,Anuradhapura,28.76,22.78,37.16,0.0,64.43,,8.311,80.404
1981-03-29,Anuradhapura,29.07,22.22,37.5,0.15,62.89,,8.311,80.404
1981-03-30,Anuradhapura,29.21,23.75,36.94,4.47,66.76,,8.311,80.404
1981-03-31,Anuradhapura,29.02,23.35,36.62,8.93,68.32,,8.311,80.404
1981-04-01,Anuradhapura,29.91,23.12,38.15,0.18,64.6,,8.311,80.404
1981-04-02,Anuradhapura,30.29,23.83,38.66,0.0,63.57,,8.311,80.404
1981-04-03,Anuradhapura,30.27,23.82,38.38,0.0,61.79,,8.311,80.404
1981-04-04,Anuradhapura,30.89,25.17,38.29,0.0,61.68,,8.311,80.404
1981-04-05,Anuradhapura,31.33,25.1,39.03,0.0,60.23,,8.311,80.404
1981-04-06,Anuradhapura,30.62,26.15,37.41,1.88,63.47,,8.311,80.404
1981-04-07,Anuradhapura,30.4,25.56,38.31,1.4,62.62,,8.311,80.404
1981-04-08,Anuradhapura,29.7,24.73,36.54,0.71,64.05,,8.311,80.404
1981-04-09,Anuradhapura,28.38,25.48,32.81,7.35,74.32,,8.311,80.404
1981-04-10,Anuradhapura,28.83,24.91,34.34,6.32,73.34,,8.311,80.404
1981-04-11,Anuradhapura,27.35,25.27,30.6,14.56,85.24,,8.311,80.404
1981-04-12,Anuradhapura,28.78,25.4,34.35,4.74,76.31,,8.311,80.404
1981-04-13,Anuradhapura,27.49,25.17,31.13,4.49,83.35,,8.311,80.404
1981-04-14,Anuradhapura,27.03,24.62,30.93,11.56,82.16,,8.311,80.404
1981-04-15,Anuradhapura,27.96,24.31,33.83,6.63,76.51,,8.311,80.404
1981-04-16,Anuradhapura,28.12,24.58,33.09,0.07,76.74,,8.311,80.404
1981-04-17,Anuradhapura,29.17,24.75,35.68,0.0,72.24,,8.311,80.404
1981-04-18,Anuradhapura,28.07,24.99,32.81,0.79,77.54,,8.311,80.404
1981-04-19,Anuradhapura,27.8,24.77,32.16,1.23,79.87,,8.311,80.404
1981-04-20,Anuradhapura,29.01,24.86,35.27,0.16,73.38,,8.311,80.404
1981-04-21,Anuradhapura,29.9,24.98,37.3,0.02,66.28,,8.311,80.404
1981-04-22,Anuradhapura,30.19,24.6,37.54,0.01,66.06,,8.311,80.404
1981-04-23,Anuradhapura,29.85,24.02,37.15,0.23,67.27,,8.311,80.404
1981-04-24,Anuradhapura,29.98,25.57,36.21,0.27,68.11,,8.311,80.404
1981-04-25,Anuradhapura,29.67,25.8,35.47,0.26,68.89,,8.311,80.404
1981-04-26,Anuradhapura,30.14,24.9,37.58,0.28,64.13,,8.311,80.404
1981-04-27,Anuradhapura,29.0,23.77,35.86,8.06,67.46,,8.311,80.404
1981-04-28,Anuradhapura,29.55,23.41,36.71,0.77,67.55,,8.311,80.404
1981-04-29,Anuradhapura,28.03,25.54,31.83,7.28,78.66,,8.311,80.404
1981-04-30,Anuradhapura,27.96,24.92,32.08,13.4,78.93,,8.311,80.404
1981-05-01,Anuradhapura,28.0,24.52,33.0,3.6,77.73,,8.311,80.404
1981-05-02,Anuradhapura,28.17,24.84,32.4,0.24,76.24,,8.311,80.404
1981-05-03,Anuradhapura,28.48,24.27,33.82,1.23,73.65,,8.311,80.404
1981-05-04,Anuradhapura,28.32,24.66,33.0,1.18,75.27,,8.311,80.404
1981-05-05,Anuradhapura,27.52,24.09,31.43,0.44,73.03,,8.311,80.404
1981-05-06,Anuradhapura,28.29,23.77,34.07,0.39,69.56,,8.311,80.404
1981-05-07,Anuradhapura,27.7,24.28,32.33,5.81,72.27,,8.311,80.404
1981-05-08,Anuradhapura,27.72,23.61,33.01,7.0,75.21,,8.311,80.404
1981-05-09,Anuradhapura,27.6,24.71,32.19,7.93,79.83,,8.311,80.404
1981-05-10,Anuradhapura,27.3,24.17,31.68,7.7,78.52,,8.311,80.404
1981-05-11,Anuradhapura,27.43,24.21,32.56,4.4,78.33,,8.311,80.404
1981-05-12,Anuradhapura,26.84,24.28,30.8,7.01,78.36,,8.311,80.404
1981-05-13,Anuradhapura,27.94,23.65,33.14,3.92,75.33,,8.311,80.404
1981-05-14,Anuradhapura,28.46,25.0,33.23,0.86,75.99,,8.311,80.404
1981-05-15,Anuradhapura,27.64,25.28,31.82,0.1,76.03,,8.311,80.404
