year,month,season,district,temperature_c,rainfall,humidity_pct,evi_i,ndvi_i,clay_0_5cm,ph_0_5cm,sand_0_5cm,yield_mt_per_ha
2019,August,Yala,Anuradhapura,28.03,3.0,72.76,0.3955,0.5318,276.0,58.0,480.0,31.9291
2019,October,Yala,Anuradhapura,26.08,13.06,86.56,0.1537,0.4681,276.0,58.0,480.0,23.3333
2019,September,Yala,Anuradhapura,27.5,4.42,77.31,0.3073,0.4141,276.0,58.0,480.0,18.5907
2020,August,Yala,Anuradhapura,28.2,0.78,73.37,0.3607,0.6462,276.0,58.0,480.0,2.7166
2020,November,Yala,Anuradhapura,26.11,10.93,87.38,0.4727,0.6505,276.0,58.0,480.0,15.0
2020,October,Yala,Anuradhapura,27.56,1.94,76.67,0.3811,0.6218,276.0,58.0,480.0,10.0
2020,September,Yala,Anuradhapura,26.84,5.78,80.78,0.5085,0.6323,276.0,58.0,480.0,13.27
2021,November,Yala,Anuradhapura,25.32,17.29,91.75,0.3509,0.6068,276.0,58.0,480.0,37.25
2021,October,Yala,Anuradhapura,26.44,10.6,85.65,0.5952,0.6159,276.0,58.0,480.0,18.8631
2021,September,Yala,Anuradhapura,27.78,3.78,77.17,0.3633,0.6595,276.0,58.0,480.0,20.5696
2022,August,Yala,Anuradhapura,27.29,2.82,77.72,0.4203,0.6239,276.0,58.0,480.0,6.0788
2022,November,Yala,Anuradhapura,25.0,7.64,87.55,0.3307,0.4731,276.0,58.0,480.0,16.6
2022,October,Yala,Anuradhapura,26.62,7.15,80.89,0.4539,0.6803,276.0,58.0,480.0,12.1524
2022,September,Yala,Anuradhapura,27.47,1.56,76.14,0.4495,0.6,276.0,58.0,480.0,13.3377
2023,October,Yala,Anuradhapura,26.92,10.54,82.95,0.4741,0.6725,276.0,58.0,480.0,18.0309
2023,September,Yala,Anuradhapura,28.28,2.42,72.9,0.3138,0.6526,276.0,58.0,480.0,19.6646
2024,August,Yala,Anuradhapura,28.12,3.82,76.96,0.3001,0.5761,276.0,58.0,480.0,22.2414
2024,July,Yala,Anuradhapura,28.87,0.24,71.94,0.2788,0.4068,276.0,58.0,480.0,16.2857
2024,June,Yala,Anuradhapura,28.15,0.82,79.34,0.4258,0.6203,276.0,58.0,480.0,16.1111
2024,October,Yala,Anuradhapura,27.12,6.17,83.23,0.2732,0.4639,276.0,58.0,480.0,22.8581
2024,September,Yala,Anuradhapura,28.89,0.81,73.33,0.2031,0.2807,276.0,58.0,480.0,21.3653
2025,August,Yala,Anuradhapura,28.23,1.22,72.88,0.3814,0.6116,276.0,58.0,480.0,21.087
2025,September,Yala,Anuradhapura,28.39,2.19,72.63,0.4195,0.5916,276.0,58.0,480.0,21.0667
2019,October,Yala,Kurunegala,24.74,13.1,88.14,0.3846811687,0.6028849845,337.0,57.0,396.0,2.0
2019,September,Yala,Kurunegala,25.59,6.33,81.83,0.4448614626,0.6217754958,337.0,57.0,396.0,27.7955
2020,August,Yala,Kurunegala,25.66,2.71,82.44,0.484800739,0.6659124136,337.0,57.0,396.0,15.4286
2020,October,Yala,Kurunegala,25.64,2.26,81.91,0.4699152173,0.6787295376,337.0,57.0,396.0,4.0
2020,September,Yala,Kurunegala,25.09,5.43,84.37,0.3963517099,0.541999693,337.0,57.0,396.0,17.0392
2021,August,Yala,Kurunegala,24.94,3.41,86.49,0.4171859971,0.5968792432,337.0,57.0,396.0,0.3448
2021,October,Yala,Kurunegala,25.01,10.58,87.43,0.4371369885,0.6337757984,337.0,57.0,396.0,27.4483
2021,September,Yala,Kurunegala,25.43,4.34,85.62,0.4621542476,0.60182033,337.0,57.0,396.0,18.2373
2022,October,Yala,Kurunegala,24.81,7.6,85.35,0.4539335174,0.759751494,337.0,57.0,396.0,7.5
2022,September,Yala,Kurunegala,25.13,2.67,84.18,0.4943710405,0.6790669495,337.0,57.0,396.0,8.2083
2023,October,Yala,Kurunegala,25.1,13.56,87.82,0.5455532506,0.7614534961,337.0,57.0,396.0,19.7273
2023,September,Yala,Kurunegala,25.89,7.28,81.56,0.4233380091,0.6401415514,337.0,57.0,396.0,11.8333
2024,August,Yala,Kurunegala,26.08,4.52,82.05,0.5087335264,0.7066276186,337.0,57.0,396.0,23.0526
2024,October,Yala,Kurunegala,25.89,4.0,83.48,0.4113920329,0.6051168543,337.0,57.0,396.0,35.7391
2024,September,Yala,Kurunegala,26.62,1.48,80.41,0.4621858749,0.6975074406,337.0,57.0,396.0,31.3125
2025,October,Yala,Kurunegala,25.11,11.54,87.42,0.4665879464,0.6693670007,337.0,57.0,396.0,13.8846
2025,September,Yala,Kurunegala,25.64,5.22,83.32,0.2829356769,0.453867862,337.0,57.0,396.0,11.7727
2019,August,Yala,Matale,25.89,4.07,78.67,0.2695,0.3553,321.0,57.0,434.0,34.4401
2019,September,Yala,Matale,25.59,6.33,81.83,0.2494,0.432,321.0,57.0,434.0,14.4203
2020,August,Yala,Matale,25.66,2.71,82.44,0.206,0.4167,321.0,57.0,434.0,9.7201
2020,October,Yala,Matale,25.64,2.26,81.91,0.2393,0.4489,321.0,57.0,434.0,17.4474
2020,September,Yala,Matale,25.09,5.43,84.37,0.2337,0.3357,321.0,57.0,434.0,12.8067
2021,October,Yala,Matale,25.01,10.58,87.43,0.2009,0.3557,321.0,57.0,434.0,22.0447
2021,September,Yala,Matale,25.43,4.34,85.62,0.5065,0.6203,321.0,57.0,434.0,22.1614
2022,August,Yala,Matale,24.94,6.12,85.12,0.3194,0.5548,321.0,57.0,434.0,2.2013
2022,October,Yala,Matale,24.81,7.6,85.35,0.218,0.5071,321.0,57.0,434.0,3.054
2022,September,Yala,Matale,25.13,2.67,84.18,0.3345,0.4767,321.0,57.0,434.0,3.7506
2023,October,Yala,Matale,25.1,13.56,87.82,0.3808,0.6287,321.0,57.0,434.0,20.3165
2023,September,Yala,Matale,25.89,7.28,81.56,0.2327,0.3678,321.0,57.0,434.0,21.7164
2024,August,Yala,Matale,26.08,4.52,82.05,0.21,0.3916,321.0,57.0,434.0,35.0957
2024,July,Yala,Matale,26.39,1.62,80.47,0.311,0.4822,321.0,57.0,434.0,27.0
2024,June,Yala,Matale,26.52,2.03,82.81,0.2145,0.4698,321.0,57.0,434.0,14.0
2024,September,Yala,Matale,26.62,1.48,80.41,0.1949,0.4173,321.0,57.0,434.0,24.9756
2025,August,Yala,Matale,25.24,1.96,84.55,0.2712,0.4899,321.0,57.0,434.0,20.3016
2025,September,Yala,Matale,25.64,5.22,83.32,0.2794,0.3953,321.0,57.0,434.0,21.9655
2019,August,Yala,Polannaruwa,28.69,2.34,70.01,0.3431,0.6451,297.0,60.0,315.0,7.8307
2019,September,Yala,Polannaruwa,28.22,4.2,74.36,0.376,0.4412,297.0,60.0,315.0,11.0301
2020,August,Yala,Polannaruwa,28.74,0.79,71.86,0.386,0.5171,297.0,60.0,315.0,13.3125
2020,October,Yala,Polannaruwa,28.45,1.26,72.97,0.3531,0.526,297.0,60.0,315.0,18.1667
2020,September,Yala,Polannaruwa,27.79,3.77,75.92,0.3259,0.4553,297.0,60.0,315.0,15.5027
2021,October,Yala,Polannaruwa,27.21,13.64,82.42,0.364,0.5319,297.0,60.0,315.0,15.8747
2021,September,Yala,Polannaruwa,28.27,3.15,76.02,0.4276,0.4969,297.0,60.0,315.0,16.6256
2022,October,Yala,Polannaruwa,27.13,11.86,80.15,0.3512,0.5053,297.0,60.0,315.0,12.9335
2022,September,Yala,Polannaruwa,27.78,2.0,76.67,0.3419,0.5348,297.0,60.0,315.0,13.2231
2023,August,Yala,Polannaruwa,30.34,0.8,64.26,0.4228,0.617,297.0,60.0,315.0,15.4524
2023,October,Yala,Polannaruwa,27.27,17.19,82.83,0.421,0.6047,297.0,60.0,315.0,18.9195
2023,September,Yala,Polannaruwa,28.69,4.1,73.19,0.3468,0.5513,297.0,60.0,315.0,17.6188
2024,August,Yala,Polannaruwa,28.64,4.4,75.75,0.3529,0.6193,297.0,60.0,315.0,35.0
2024,October,Yala,Polannaruwa,27.72,6.41,81.9,0.3693,0.6077,297.0,60.0,315.0,21.3667
2024,September,Yala,Polannaruwa,29.15,0.92,73.22,0.327,0.4862,297.0,60.0,315.0,21.8103
2025,September,Yala,Polannaruwa,28.81,2.17,71.57,0.3233,0.5403,297.0,60.0,315.0,22.8462
