config,loyo_r2,loyo_rmse
"eb[sqrt,phi0.5]",-0.18515598984230208,6.649923709477568
"eb[sqrt,phi2.0]",-0.18515598984230208,6.649923709477568
mean[sqrt],-0.18515598984230208,6.649923709477568
"eb[sqrt,phi1.0]",-0.18515598984230208,6.649923709477568
"eb[sat50,phi1.0]",-0.18589391733148664,6.651993647078682
"eb[sat50,phi0.5]",-0.18589391733148664,6.651993647078682
mean[sat50],-0.18589391733148664,6.651993647078682
"eb[sat50,phi2.0]",-0.18589391733148664,6.651993647078682
"eb[sat200,phi0.5]",-0.18748211771597179,6.656446475407085
"eb[sat200,phi1.0]",-0.18748211771597179,6.656446475407085
"eb[sat200,phi2.0]",-0.18748211771597179,6.656446475407085
mean[sat200],-0.18748211771597179,6.656446475407085
mean[log],-0.18879638495749362,6.66012902782505
"eb[lin,phi0.5]",-0.19273060521288365,6.671140489497461
"eb[lin,phi1.0]",-0.19273060521288365,6.671140489497461
mean[lin],-0.19273060521288365,6.671140489497461
"eb[lin,phi2.0]",-0.19273060521288365,6.671140489497461
trim6+eb[lin],-0.19333722999716763,6.672836750459959
trim6+mean[lin],-0.19333722999716763,6.672836750459959
trim2+eb[lin],-0.19365945724018663,6.673737595839834
trim2+mean[lin],-0.19365945724018663,6.673737595839834
trim4+eb[lin],-0.19369571194405633,6.673838944906185
trim4+mean[lin],-0.19369571194405633,6.673838944906185
trim6+mean[equal],-0.19387335983122034,6.674335532633164
"ridge[equal,k2,l100]",-0.1970578193573984,6.683230947327284
"ridge[equal,k2,l30]",-0.1981984913775594,6.686414402301622
trim4+mean[equal],-0.2019072771107968,6.6967546416147
"ridge[equal,k3,l100]",-0.21393670583116653,6.730183828598195
mean[equal],-0.21495511524333555,6.733006317448089
"eb[equal,phi0.5]",-0.21495511524333555,6.733006317448089
"eb[equal,phi1.0]",-0.21495511524333555,6.733006317448089
"eb[equal,phi2.0]",-0.21495511524333555,6.733006317448089
trim2+mean[equal],-0.21859927430884518,6.7430963095389265
"ridge[equal,k2,l10]",-0.2225083971890267,6.753903178886674
"ridge[equal,k1,l100]",-0.22605225422514974,6.763685339324661
"ridge[equal,k3,l30]",-0.2353191542973263,6.789198283623587
"ridge[equal,k5,l100]",-0.23963919825213353,6.801059201273158
"ridge[sat50,k1,l100,log]",-0.24572406875503794,6.81773054612241
"ridge[equal,k2,l3]",-0.2506721198822812,6.8312572363210835
"gamma[k1,l100]",-0.2546532972765563,6.842121329992158
"ridge[equal,k1,l30]",-0.2572264579443837,6.849133968394972
"ridge[sat50,k2,l100,log]",-0.25933517102835113,6.854875498585545
"ridge[equal,k1,l100,log]",-0.2643296882931361,6.8684552493223165
"ridge[sqrt,k1,l100]",-0.26732298569374047,6.8765809681428065
"ridge[sat50,k1,l100]",-0.26914789689929863,6.881530233423253
"ridge[equal,k3,l10]",-0.273308355159982,6.892800351795313
"gamma[k2,l100]",-0.2750839628489905,6.897604626222039
"ridge[equal,k5,l30]",-0.2881474427031485,6.932848228316942
"gamma[k3,l100]",-0.28871857644555354,6.9343849874735595
"ridge[sqrt,k2,l100]",-0.29007646237178353,6.938037307262241
"ridge[sat50,k2,l100]",-0.2930583668775706,6.946051027430412
"ridge[sqrt,k1,l100,log]",-0.29482002483219594,6.950781054099192
"ridge[equal,k2,l100,log]",-0.29716930052287216,6.9570838222575775
"ridge[lin,k1,l100]",-0.3011730582596903,6.967812189719901
"ridge[equal,k3,l3]",-0.30756806644530865,6.984913911856049
"ridge[sqrt,k2,l100,log]",-0.3091510068456482,6.989140597419803
"ridge[equal,k1,l10]",-0.30987724819903906,6.991078914372773
"ridge[sqrt,k5,l100]",-0.31510625359111843,7.005019143857493
"ridge[sat50,k3,l100]",-0.31691693282851463,7.009839849337481
"ridge[sqrt,k3,l100]",-0.3170334928772256,7.010150062219976
