config,loyo_r2,loyo_rmse
"huber[sat50,c1.345]",-0.17645948273824708,6.625480687027195
"huber[sat100,c1.345]",-0.1765135066475605,6.625632808823136
"huber[sat25,c1.345]",-0.1778460791476164,6.6293839928816265
"huber[sqrt,c1.345]",-0.17965819545169825,6.634481686884287
"huber[sat100,c1.0]",-0.18221360253486463,6.641663695218504
mean[sqrt],-0.18515598984230208,6.649923709477568
geo[sqrt],-0.18515598984230208,6.649923709477568
"huber[sat25,c2.0]",-0.1852011445840771,6.650050390155221
mean[sat25],-0.18524169191690731,6.650164142787665
geo[sat25],-0.18524169191690731,6.650164142787665
"huber[sqrt,c2.0]",-0.1857944673506211,6.651714720565459
mean[sat50],-0.18589391733148664,6.651993647078682
geo[sat50],-0.18589391733148686,6.651993647078682
"huber[sat50,c2.0]",-0.18589391733148708,6.651993647078684
"huber[sqrt,c1.0]",-0.18599584530578328,6.6522795114629645
"huber[sat50,c1.0]",-0.18639532195108188,6.653399754243228
"huber[sat100,c2.0]",-0.18734649268426895,6.656066340612035
mean[sat100],-0.18734649268426917,6.656066340612035
geo[sat100],-0.18734649268426962,6.656066340612036
"pool[lin,lam0.15]",-0.18834012454792415,6.658850825409128
"pool[sqrt,lam0.15]",-0.1891648985492289,6.661161230616409
"pool[lin,lam0.3]",-0.18919229830860607,6.661237970673147
"huber[sat25,c1.0]",-0.19234383397209265,6.670058763883782
geo[lin],-0.19273060521288343,6.67114048949746
mean[lin],-0.19273060521288365,6.671140489497461
"huber[lin,c1.345]",-0.19300235261682608,6.6719004104108866
"huber[lin,c2.0]",-0.19301871884373045,6.671946174554297
"pool[sat100,lam0.15]",-0.19456140109529563,6.67625849907432
"pool[sat50,lam0.15]",-0.19476841487286967,6.676836961436506
"pool[sat25,lam0.15]",-0.19486569428648992,6.677108773762543
"pool[sqrt,lam0.3]",-0.19656273368761368,6.681848760935744
"pool[lin,lam0.5]",-0.19848377020718155,6.687210338435607
"huber[lin,c1.0]",-0.20350460431563722,6.701203136480132
"pool[sat100,lam0.3]",-0.20540866183676965,6.7065020084172
"pool[sat50,lam0.3]",-0.20687280736139946,6.710573787258086
"pool[sat25,lam0.3]",-0.20734408543927763,6.711883882910703
"huber[equal,c1.345]",-0.21131093223278263,6.722901115472228
"pool[sqrt,lam0.5]",-0.2116981772099482,6.723975654461923
"huber[equal,c2.0]",-0.21485346286536955,6.732724644318312
mean[equal],-0.21495511524333555,6.733006317448089
geo[equal],-0.214955115243336,6.7330063174480905
ivpow[p0.25],-0.21625057903696154,6.736594944693683
ivpow[p0.5],-0.21746219633110253,6.739949575441994
"pool[equal,lam0.15]",-0.21778504079883665,6.740843160148327
ivpow[p0.75],-0.2185874575241109,6.743063615480928
ivfit,-0.2196266799254094,6.745938275535934
ivfit[cap3],-0.2196266799254094,6.745938275535934
ivfit[cap2],-0.2196266799254094,6.745938275535934
ivfit[cap5],-0.2196266799254094,6.745938275535934
ivfit[cap10],-0.2196266799254094,6.745938275535934
ivpow[p1.0],-0.2196266799254094,6.745938275535934
"pool[lin,lam0.75]",-0.2232047461445068,6.755826439250365
"pool[equal,lam0.3]",-0.22347556039385452,6.756574258786362
"pool[sat100,lam0.5]",-0.22552200200609795,6.762222576621722
"pool[sat50,lam0.5]",-0.22803627837499985,6.769155697762064
"pool[sat25,lam0.5]",-0.22842210063909074,6.770218974931226
"huber[equal,c1.0]",-0.23198156436687634,6.78002053960479
"pool[equal,lam0.5]",-0.2355127328042379,6.789730207450641
"pool[sqrt,lam0.75]",-0.2390897976915085,6.799551940195007
"pool[equal,lam0.75]",-0.257710683416009,6.850452826196438
"pool[sat100,lam0.75]",-0.25974455804387686,6.855989605875933
"pool[sat25,lam0.75]",-0.26190559159686955,6.861867652689481
"pool[lin,lam1.0]",-0.2624886510419491,6.863452721624545
"pool[sat50,lam0.75]",-0.2625653545098656,6.863661215629307
"pool[sqrt,lam1.0]",-0.27589510270489415,6.89979822000541
"pool[equal,lam1.0]",-0.28785472858199257,6.9320604854673045
"pool[sat25,lam1.0]",-0.30331794028577397,6.973552771701475
"pool[sat100,lam1.0]",-0.30405698166623285,6.975529654514274
"pool[sat50,lam1.0]",-0.3060663610534713,6.980901770329755
