Model,RMSE,MAE,R2,MAPE,Train_Time_s,Parameters
StackConvex,2.0301,1.6353,0.8478,23.76,0.0,
RandomForest,2.0677,1.6824,0.8421,24.68,4.67,
SymbolicRegression,2.0944,1.6572,0.838,23.01,83.11,
XGBoost,2.303,1.8596,0.8041,26.59,4.05,
PhysResidual,2.33,1.8923,0.7995,27.51,2.47,
StackInvRMSE,2.3902,1.8337,0.789,26.71,0.0,
StackMean,2.744,2.0701,0.7219,29.26,0.0,
SVR,2.8676,2.2984,0.6963,33.81,0.07,
CNN,4.4423,3.6005,0.2711,35.49,51.19,8577.0
CNN_LSTM_Hybrid,4.9434,3.9557,0.0974,36.59,83.66,44929.0
BiLSTM,5.1006,4.0954,0.0391,66.27,72.58,77601.0
LSTM,5.1478,4.2112,0.0212,64.92,51.74,30625.0
