Year,District,n_months,n_effective,monthly_sd,cell_se
2019,Anuradhapura,3,1.65,5.545,4.316
2019,Kurunegala,2,1.58,11.05,8.792
2019,Matale,2,1.56,8.487,6.793
2019,Polonnaruwa,2,2.0,1.599,1.131
2020,Anuradhapura,4,1.53,4.133,3.342
2020,Kurunegala,3,1.31,1.738,1.516
2020,Matale,3,1.73,1.631,1.24
2020,Polonnaruwa,3,1.24,0.757,0.679
2021,Anuradhapura,3,1.64,1.077,0.839
2021,Kurunegala,3,1.51,6.262,5.102
2021,Matale,2,1.23,0.036,0.032
2021,Polonnaruwa,2,2.0,0.375,0.265
2022,Anuradhapura,4,2.06,1.101,0.767
2022,Kurunegala,2,1.08,0.139,0.133
2022,Matale,3,1.36,0.289,0.247
2022,Polonnaruwa,2,1.5,0.118,0.096
2023,Anuradhapura,2,1.33,0.575,0.499
2023,Kurunegala,2,1.76,3.665,2.764
2023,Matale,2,1.35,0.503,0.433
2023,Polonnaruwa,3,2.11,0.814,0.561
2024,Anuradhapura,5,1.99,1.018,0.722
2024,Kurunegala,3,2.86,4.801,2.839
2024,Matale,4,1.39,3.564,3.027
2024,Polonnaruwa,3,1.86,1.155,0.846
2025,Anuradhapura,2,1.01,0.002,0.002
2025,Kurunegala,2,1.72,0.965,0.737
2025,Matale,2,1.02,0.173,0.171
