Model,RMSE,MAE,R2,MAPE,Train_Time_s,Parameters
SymbolicRegression,6.7165,4.9724,-0.209,43.98,38.19,
SVR,6.9828,5.8465,-0.3068,45.53,0.03,
PADR,7.3326,6.0161,-0.3737,48.29,,
StackConvex,7.2715,5.5703,-0.4171,45.89,0.0,
BiLSTM,7.3655,5.9803,-0.454,45.37,32.29,77601.0
StackInvRMSE,7.4685,6.2743,-0.4949,45.03,0.0,
PhysResidual,7.5011,6.3443,-0.508,49.46,0.98,
RandomForest,7.5859,6.2958,-0.5423,50.2,3.43,
StackMean,7.6883,6.4232,-0.5842,43.24,0.0,
XGBoost,7.9892,6.4626,-0.7106,51.86,2.54,
LSTM,10.7223,8.4064,-2.0812,47.87,23.82,30625.0
CNN_LSTM_Hybrid,13.1505,11.5397,-3.6348,61.41,30.5,44929.0
CNN,13.5818,12.1124,-3.9438,64.53,19.21,8577.0
